#,Anime,#1,#2,#3,#4-5,#6-10,#11-20,Points,Classification,Genre
138,The Promised Neverland,2,0,3,5,10,28,85,Shonen,Fantasy / Action
139,Azumanga Daioh,2,0,2,3,18,21,84,Seinen,Slice of Life
141,Space Dandy,2,2,4,3,10,19,82,Seinen,Other
142,Nausicaä of the Valley of the Wind,2,4,1,3,7,27,80,Seinen,Fantasy / Action
148,Classroom of The Elite,2,0,1,6,9,26,76,Shonen,Other
149,Run with the Wind,2,0,1,4,14,22,76,Seinen,Other
152,Akira,2,2,1,4,11,19,75,Seinen,Fantasy / Action
155,Noragami,2,0,3,2,9,27,73,Shonen,Fantasy / Action
161,Insomniacs After School,2,1,2,4,8,20,70,Shonen,Slice of Life
163,The Quintessential Quintuplets,2,1,1,2,11,21,67,Shonen,Slice of Life
169,Initial D,2,1,2,4,9,11,63,Seinen,Other
172,Uma Musume: Pretty Derby,2,1,1,0,10,23,61,Seinen,Other
177,Barakamon,2,1,4,1,7,13,60,Seinen,Slice of Life
181,Gunbuster,2,1,1,4,7,15,59,Seinen,Mecha
184,HELLSING ULTIMATE,2,1,2,1,10,13,58,Seinen,Fantasy / Action
186,Dorohedoro,2,1,1,2,10,13,57,Seinen,Fantasy / Action
187,Flip Flappers,2,1,1,1,11,14,57,Seinen,Fantasy / Action
193,Evangelion Rebuilds,2,3,2,2,4,10,54,Shonen,Mecha
200,Cross Game,2,1,2,0,9,13,53,Shonen,Other
201,Digimon,2,0,1,4,7,13,53,Kodomomuke,Isekai
203,Howl’s Moving Castle,2,0,1,4,6,14,52,Kodomomuke,Fantasy / Action
206,Planetes,2,0,2,3,6,10,49,Seinen,Other
215,Nisekoi,2,1,2,4,3,6,46,Shonen,Slice of Life
220,Love Live! School Idol Project,2,0,0,3,6,13,44,Seinen,Slice of Life
227,Kyousougiga,2,1,0,2,7,8,42,Seinen,Fantasy / Action
232,The Rose of Versailles,2,0,0,1,11,5,40,Shojo,Other
266,Erin,2,0,2,3,1,4,33,Kodomomuke,Fantasy / Action
291,Love Live! Sunshine!!,2,0,1,3,2,3,30,Seinen,Slice of Life
292,Eccentric Family,2,0,1,0,3,10,30,Seinen,Other
307,Macross Frontier,2,1,0,2,3,2,28,Shonen,Mecha
314,Sarazanmai,2,0,0,2,3,5,27,Seinen,Fantasy / Action
326,Nagi no Asukara,2,0,1,0,3,5,25,Seinen,Other
333,Legend of the Galactic Heroes: Die Neue These,2,0,1,0,4,2,24,Seinen,Other
389,Michiko to Hatchin,2,1,0,0,1,2,18,Seinen,Other
390,Yuri is My Job!,2,0,0,2,1,0,18,Josei,Slice of Life
439,I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability,2,0,0,0,2,0,14,Shonen,Isekai
76,My hero academia,1,6,1,15,26,61,191,Shonen,Fantasy / Action
79,Summertime Render,1,0,8,7,32,63,185,Shonen,Fantasy / Action
93,Berserk,1,3,9,12,23,25,160,Seinen,Fantasy / Action
98,Perfect Blue,1,2,4,11,21,46,150,Seinen,Other
107,Delicious in Dungeon,1,4,7,8,15,39,142,Seinen,Fantasy / Action
109,Overlord,1,5,3,4,23,46,141,Seinen,Isekai
110,Heavenly Delusion,1,1,3,5,25,54,140,Seinen,Fantasy / Action
112,Parasyte,1,1,2,10,24,43,138,Seinen,Fantasy / Action
121,Bungo Stray Dogs,1,2,3,12,12,26,111,Shonen,Fantasy / Action
129,Ghost in the Shell,1,3,3,5,11,28,94,Seinen,Other
130,Katanagatari,1,0,6,4,15,23,94,Seinen,Fantasy / Action
135,Ghost in the Shell: Stand Alone Complex,1,4,2,7,10,19,89,Seinen,Other
140,Devilman: Crybaby,1,3,4,3,8,26,84,Seinen,Fantasy / Action
145,Trigun,1,1,3,3,12,25,79,Seinen,Other
