#,Anime,#1,#2,#3,#4-5,#6-10,#11-20,Points,Classification,Genre
361,Hellsing,0,1,0,2,3,5,21,Seinen,Fantasy / Action
362,High Score Girl,0,1,0,1,3,8,21,Seinen,Slice of Life
363,Uncle From Another World,0,0,1,1,3,8,21,Seinen,Isekai
364,Slam Dunk,0,0,0,2,4,7,21,Shonen,Other
365,Goblin Slayer,0,0,0,1,3,12,21,Seinen,Fantasy / Action
366,Nagatoro,0,0,0,0,6,9,21,Shonen,Slice of Life
367,Snow White with the Red Hair,0,0,0,1,5,8,21,Shojo,Fantasy / Action
371,Slayers,0,2,1,1,0,5,20,Shonen,Fantasy / Action
372,Maison Ikkoku,0,2,0,0,5,2,20,Seinen,Slice of Life
373,Inuyashiki,0,1,1,0,1,10,20,Seinen,Fantasy / Action
374,Paprika,0,1,0,0,5,6,20,Seinen,Other
375,Hanasaku Iroha,0,0,1,1,2,9,20,Seinen,Slice of Life
376,Magical Girl Lyrical Nanoha,0,0,0,3,2,7,20,Seinen,Fantasy / Action
377,Interspecies Reviewers,0,0,0,1,4,9,20,Seinen,Other
378,Sleepy Princess in the Demon’s Castle,0,0,0,1,3,11,20,Shonen,Fantasy / Action
379,91 Days,0,0,0,0,8,4,20,Seinen,Other
381,Great Pretender,0,1,1,0,2,7,19,Seinen,Other
382,Honey and Clover,0,1,0,1,4,4,19,Josei,Slice of Life
383,Humanity Has Declined,0,1,0,0,3,9,19,Shonen,Fantasy / Action
384,Mobile Suit Gundam Seed,0,0,2,0,2,7,19,Shonen,Mecha
385,The Familiar of Zero,0,0,2,0,1,9,19,Shonen,Isekai
386,The Executioner and Her Way of Life,0,0,1,2,1,7,19,Shonen,Isekai
387,Kanon,0,0,1,1,2,8,19,Seinen,Slice of Life
388,Another,0,0,0,0,5,9,19,Seinen,Other
392,Villainess Level 99,0,2,0,1,1,5,18,Josei,Isekai
393,Full Metal Panic,0,2,0,0,2,6,18,Shonen,Mecha
394,Samurai Flamenco,0,0,2,0,2,6,18,Seinen,Other
395,Macross Plus,0,0,1,1,2,7,18,Seinen,Mecha
396,Seven Deadly Sins,0,0,0,2,4,4,18,Shonen,Fantasy / Action
397,Romantic Killer,0,0,0,1,4,7,18,Shonen,Slice of Life
398,The Aquatope on White Sand,0,0,0,1,2,11,18,Seinen,Slice of Life
402,Happy Sugar Life,0,1,0,2,0,7,17,Seinen,Other
403,Pop Team Epic,0,1,0,0,3,7,17,Seinen,Slice of Life
404,Wonder Egg Priority,0,0,2,0,2,5,17,Seinen,Fantasy / Action
405,Kaiju No. 8,0,0,0,1,4,6,17,Shonen,Fantasy / Action
406,Claymore,0,0,0,1,3,8,17,Shonen,Fantasy / Action
407,Blue Exorcist,0,0,0,0,5,7,17,Shonen,Fantasy / Action
408,Tsurezure Children,0,0,0,0,5,7,17,Shonen,Slice of Life
409,New Game,0,0,0,0,4,9,17,Seinen,Slice of Life
410,Vampire Hunter D,0,0,0,0,4,9,17,Seinen,Fantasy / Action
417,Terror in Resonance,0,1,0,1,2,5,16,Seinen,Other
418,Digimon Tamers,0,1,0,0,4,4,16,Kodomomuke,Isekai
419,Inferno Cop,0,0,1,0,5,2,16,Seinen,Other
420,Porco Rosso,0,0,0,2,3,4,16,Kodomomuke,Other
421,Urusei Yatsura (1981),0,0,0,2,3,4,16,Shonen,Fantasy / Action
422,Tsurune,0,0,0,2,2,6,16,Shonen,Slice of Life
423,Birdie Wing,0,0,0,1,3,7,16,Seinen,Other
427,The Twelve Kingdoms,0,2,0,1,0,4,15,Seinen,Isekai
428,Major,0,1,2,0,0,3,15,Shonen,Other
429,Boogiepop & Others,0,1,0,2,1,3,15,Shonen,Fantasy / Action
430,Blue Period,0,1,0,0,2,7,15,Seinen,Slice of Life
431,ef: A Tale of Memories,0,1,0,0,2,7,15,Seinen,Slice of Life
432,After the Rain,0,0,1,1,0,8,15,Seinen,Slice of Life
433,Shakugan no Shana,0,0,1,0,3,5,15,Shonen,Fantasy / Action
434,Granbelm,0,0,1,0,3,5,15,Seinen,Mecha
435,The Flowers of Evil,0,0,1,0,2,7,15,Seinen,Slice of Life
436,Chobits,0,0,0,2,3,3,15,Seinen,Slice of Life
437,Promare,0,0,0,1,3,6,15,Seinen,Mecha
438,My Next Life as a Villainess,0,0,0,1,2,8,15,Josei,Isekai
444,Urusei Yatsura (2022),0,1,1,0,1,4,14,Shonen,Fantasy / Action
445,Brave Bang Bravern,0,1,0,1,2,3,14,Seinen,Mecha
446,Jellyfish Can’t Swim in the Night,0,1,0,1,2,3,14,Seinen,Slice of Life
447,Sk8 The Infinity,0,1,0,1,1,5,14,Seinen,Other
448,Rising of the Shield Hero,0,1,0,0,2,6,14,Shonen,Isekai
449,My Senpai is Annoying,0,0,1,0,4,2,14,Seinen,Slice of Life
450,The Girl Who Leapt Through Time,0,0,1,0,2,6,14,Seinen,Other
451,Dark Gathering,0,0,0,3,0,5,14,Shonen,Fantasy / Action
452,Free!,0,0,0,1,4,3,14,Seinen,Other
453,Mobile Suit Gundam Wing,0,0,0,1,2,7,14,Shonen,Mecha
454,Girls Band Cry,0,0,0,1,2,7,14,Seinen,Slice of Life
455,The Magical Revolution of the Reincarnated Princess and the Genius Young Lady,0,0,0,0,5,4,14,Josei,Isekai
456,My Love Story with Yamada at Lv.999,0,0,0,0,4,6,14,Josei,Slice of Life
457,"Girlfriend, Girlfriend",0,0,0,0,3,8,14,Shonen,Slice of Life
460,Baby Steps,0,1,1,0,1,3,13,Shonen,Other
461,Pompo the Cinephile,0,1,1,0,1,3,13,Seinen,Slice of Life
462,Saint Seiya,0,1,0,0,2,5,13,Shonen,Fantasy / Action
463,Kamikatsu,0,0,2,0,2,1,13,Shonen,Isekai
464,Dead Mount Death Play,0,0,0,2,2,3,13,Shonen,Isekai
465,"Josee, The Tiger, and the Fish",0,0,0,2,1,5,13,Seinen,Slice of Life
466,Casshern Sins,0,0,0,1,3,4,13,Seinen,Mecha
467,Buddy Daddies,0,0,0,1,2,6,13,Seinen,Slice of Life
468,Kaiba,0,0,0,1,1,8,13,Seinen,Other
469,To Love-Ru,0,0,0,1,1,8,13,Shonen,Slice of Life
470,Amagi Brilliant Park,0,0,0,0,3,7,13,Shonen,Fantasy / Action
471,Beyond the Boundary,0,0,0,0,2,9,13,Shonen,Fantasy / Action
476,Hugtto Precure,0,0,1,1,1,3,12,Kodomomuke,Fantasy / Action
477,Carnival Phantasm,0,0,0,2,1,4,12,Seinen,Other
478,Aoi Hana,0,0,0,1,3,3,12,Josei,Slice of Life
479,O Maidens in Your Savage Season,0,0,0,1,3,3,12,Seinen,Slice of Life
480,High School of the Dead,0,0,0,1,2,5,12,Seinen,Fantasy / Action
481,Jormungand,0,0,0,1,2,5,12,Shonen,Other
482,Gamers,0,0,0,0,4,4,12,Shonen,Slice of Life
483,Undead Girl Murder Farce,0,0,0,0,3,6,12,Seinen,Fantasy / Action
484,So I’m a Spider? So What?,0,0,0,0,3,6,12,Shonen,Isekai
485,My Happy Marriage,0,0,0,0,2,8,12,Josei,Other
486,Kakushigoto,0,0,0,0,2,8,12,Shonen,Slice of Life
492,Tearmoon Empire,0,1,0,1,1,2,11,Josei,Isekai
493,Love Live! Nijigasaki High School Idol Club,0,1,0,0,2,3,11,Seinen,Slice of Life
494,D-Frag,0,1,0,0,1,5,11,Shonen,Slice of Life
495,Orange,0,1,0,0,1,5,11,Shojo,Slice of Life
496,ACCA-13,0,0,1,1,0,4,11,Seinen,Other
497,Kotaro Lives Alone,0,0,0,1,2,4,11,Seinen,Slice of Life
498,School Rumble,0,0,0,1,1,6,11,Shonen,Slice of Life
499,Working!!,0,0,0,1,0,8,11,Seinen,Slice of Life
500,The Garden of Words,0,0,0,1,0,8,11,Seinen,Other
212,Maquia,,2,0,3,7,17,48,Seinen,Fantasy / Action
306,Little Busters,,,1,3,4,8,29,Seinen,Slice of Life
