#,Anime,#1,#2,#3,#4-5,#6-10,#11-20,Points,,#1,5 Points,,,,,,,,,,,,,,
2,Steins;Gate,97,74,78,78,129,130,1715,,#2,4 Points,,,,,,,,,,,,,,
3,Attack on Titan,84,79,49,92,134,173,1649,,#3,4 Points,,,,,,,,,,,,,,
4,Puella Magi Madoka Magica,79,43,46,59,102,113,1245,,#4-5,3 Points,,,,,,,,,,,,,,
18,Gintama,70,31,18,22,30,27,699,,#6-10,2 Points,,,,,,,,,,,,,,
7,Neon Genesis Evangelion,67,43,48,45,74,110,1092,,#11-20,1 Point,,,,,,,,,,,,,,
14,Clannad,62,36,22,34,63,58,828,,,,,,,,,,,,,,,,,
1,Frieren: Beyond Journey's End,60,69,62,128,217,182,1824,,,,,,,,,,,,,,,,,
8,The Monogatari Series,59,51,34,65,78,81,1067,,,,,,,,,,,,,,,,,
5,Hunter x Hunter,49,53,54,53,111,116,1170,,,,,,,,,,,,,,,,,
9,Fullmetal Alchemist: Brotherhood,41,42,37,65,113,102,1044,,,,,,,,,,,,,,,,,
24,One piece,39,26,17,29,38,35,565,,,,,,,,,,,,,,,,,
13,Code Geass,37,32,21,45,96,112,836,,,,,,,,,,,,,,,,,
17,Re: Zero,34,25,21,37,73,154,765,,,,,,,,,,,,,,,,,
6,Kaguya-sama: Love is War series,33,29,34,81,159,179,1157,,,,,,,,,,,,,,,,,
15,Mushoku Tensei: Jobless Reincarnation,27,28,29,45,94,119,805,,,,,,,,,,,,,,,,,
19,Gurren Lagann,26,29,21,35,66,94,661,,,,,,,,,,,,,,,,,
16,Made in Abyss,25,31,18,45,99,130,784,,,,,,,,,,,,,,,,,
32,K-on,24,15,9,32,53,53,471,,,,,,,,,,,,,,,,,
26,3-gatsu no Lion,23,17,20,36,57,71,556,,,,,,,,,,,,,,,,,
21,Jojos Bizarre Adventure,22,22,16,20,82,108,594,,,,,,,,,,,,,,,,,
27,Cowboy Bebop,22,19,23,24,52,93,547,,,,,,,,,,,,,,,,,
10,Vinland Saga,20,31,43,59,145,137,1000,,,,,,,,,,,,,,,,,
11,Mob Psycho 100,20,28,26,56,135,203,957,,,,,,,,,,,,,,,,,
12,Bocchi the Rock,20,16,26,55,143,164,883,,,,,,,,,,,,,,,,,
37,Fruits Basket,20,16,17,25,38,51,434,,,,,,,,,,,,,,,,,
44,Hibike Euphonium,20,12,14,13,42,64,391,,,,,,,,,,,,,,,,,
42,Dragon Ball,18,10,11,27,42,55,394,,,,,,,,,,,,,,,,,
48,Legend of Galactic Heroes,18,19,16,20,19,23,351,,,,,,,,,,,,,,,,,
23,Violet Evergarden,16,10,18,43,75,114,585,,,,,,,,,,,,,,,,,
33,Naruto,16,22,12,27,45,70,457,,,,,,,,,,,,,,,,,
25,A Place Furter than the Universe,15,19,22,38,60,86,559,,,,,,,,,,,,,,,,,
38,One Punch Man,15,4,6,27,63,112,434,,,,,,,,,,,,,,,,,
28,Eighty-Six,14,26,23,33,47,79,538,,,,,,,,,,,,,,,,,
20,Death Note,13,16,22,35,94,132,642,,,,,,,,,,,,,,,,,
36,Odd Taxi,13,11,15,27,44,98,436,,,,,,,,,,,,,,,,,
56,FLCL,13,11,3,19,29,44,280,,,,,,,,,,,,,,,,,
30,Your Name.,12,17,16,29,79,93,530,,,,,,,,,,,,,,,,,
40,Kill La Kill,12,11,7,25,52,101,412,,,,,,,,,,,,,,,,,
73,Aria,12,11,4,16,12,21,213,,,,,,,,,,,,,,,,,
29,Jujutsu Kaisen,11,11,16,32,81,110,531,,,,,,,,,,,,,,,,,
49,The Melancholy of Haruhi Suzumiya,11,7,6,21,55,42,322,,,,,,,,,,,,,,,,,
35,Fate/zero,10,15,15,34,49,72,442,,,,,,,,,,,,,,,,,
45,Rascal Does Not Dream of Bunny Girl Senpai,10,11,10,18,64,75,391,,,,,,,,,,,,,,,,,
50,Your Lie in April,10,10,10,15,31,68,305,,,,,,,,,,,,,,,,,
52,From the new world,10,9,8,18,31,54,288,,,,,,,,,,,,,,,,,
96,Symphogear,10,7,3,6,15,17,155,,,,,,,,,,,,,,,,,
59,Chihayafuru,9,2,7,16,33,62,257,,,,,,,,,,,,,,,,,
102,Sword Art Online,9,2,1,7,15,39,147,,,,,,,,,,,,,,,,,
39,Monster,8,13,10,34,59,61,413,,,,,,,,,,,,,,,,,
53,Ping Pong the Animation,8,7,8,19,37,52,283,,,,,,,,,,,,,,,,,
113,Haibane Renmei,8,2,2,8,16,23,135,,,,,,,,,,,,,,,,,
41,Chainsaw Man,7,10,10,19,64,109,409,,,,,,,,,,,,,,,,,
54,The Dangers in my Heart,7,5,9,15,40,67,283,,,,,,,,,,,,,,,,,
61,Nichijou,7,5,4,16,28,76,251,,,,,,,,,,,,,,,,,
63,Oregairu,7,7,5,16,25,60,241,,,,,,,,,,,,,,,,,
78,Serial Experiments Lain,7,6,5,10,22,32,185,,,,,,,,,,,,,,,,,
87,Revolutionary Girl Utena,7,5,4,9,25,24,172,,,,,,,,,,,,,,,,,
34,Haikyu,6,16,16,29,67,67,446,,,,,,,,,,,,,,,,,
43,The Apothecary Diaries,6,4,4,19,71,133,394,,,,,,,,,,,,,,,,,
